training_root,algorithm,scenario,episodes,operational_return_mean,operational_return_std,delivered_ratio_mean,sla_violations_demand_intervals_mean,max_utilization_mean,loss_ratio_mean,delay_ms_mean,reroutes_per_hour_mean,moved_mbps_total_mean,protected_disconnection_demand_intervals_mean,unprotected_disconnection_demand_intervals_mean
42,cspf,evening_peak,5,-34.13730133456811,17.34998450742277,0.9594891921754367,263.0,1.199091411965024,0.0400845060572142,35.06269878790453,0.3999999999999999,515.34894833892,0.0,0.0
42,cspf,flash_crowd,5,-57.42923266924531,7.167656521467702,0.9276813270634408,254.2,1.3355535119373951,0.07122903640332508,45.58819074069309,0.8,712.7864195891142,0.0,0.0
42,cspf,link_failure,5,-26.632329971289483,21.51949869595383,0.9576962540287187,196.4,1.2043997487420348,0.04188398455712354,37.63345313339997,1.44,1086.9016375760668,0.0,0.0
42,cspf,deceptive_local_optimum,5,65.12921090839504,14.5611367950065,0.9948030167691305,48.6,0.8610276919543389,0.005142123158626261,19.82257259606663,0.2,140.43846194676672,0.0,0.0
42,cspf,ood_double_failure,5,-218.44528566401846,10.98362437559462,0.8904860195611217,223.4,0.9677470581434904,0.10940241241829458,22.515573173071616,0.8,272.87017050798505,25.0,75.0
42,cspf,overload_stress,5,-120.58373906889376,18.714577581728406,0.8494774322577088,342.4,1.77816434407586,0.14963697629471934,63.473087198273944,0.75,788.4447142723802,0.0,0.0
314159,maskable_ppo,full_day,5,326.54345280184816,24.541895453580658,0.9884750329063937,189.4,0.8366536099255228,0.0112711278052449,24.462900274306826,0.20833333333333331,736.1205069922332,0.0,0.0
314159,maskable_ppo,evening_peak,5,29.927166860050836,17.548884016058455,0.980420400107235,157.6,1.0416178236200981,0.01930476167294554,33.2731203279775,0.7142857142857143,619.5041050789536,0.0,0.0
314159,maskable_ppo,flash_crowd,5,-41.656682314824984,11.707347484000628,0.9350223898398846,242.6,1.2775567428573238,0.06385662341254297,49.55521688430018,1.24,887.5485229491649,0.0,0.0
314159,maskable_ppo,link_failure,5,-12.996986429397065,12.203316099720503,0.964496577828168,188.2,1.1467551102812377,0.035148410391721695,38.94894081045847,2.12,1451.615324791876,0.0,0.0
314159,maskable_ppo,deceptive_local_optimum,5,105.16341388274131,6.306794152590767,0.9999291859944692,1.6,0.6718826839817138,6.839411448856164e-05,16.604553031486923,0.8800000000000001,316.1830547250882,0.0,0.0
314159,maskable_ppo,ood_double_failure,5,-201.69920739759732,5.270115427390606,0.8945025014647309,199.4,0.891464477612363,0.10544517935569182,21.06042632095216,2.2,1067.8450470335267,25.0,75.0
