training_root,algorithm,action,count,frequency,is_noop
314159,greedy,15,22,0.006666666666666667,False
314159,greedy,16,9,0.0027272727272727275,False
314159,greedy,17,29,0.008787878787878787,False
314159,greedy,18,128,0.03878787878787879,False
314159,greedy,19,17,0.005151515151515152,False
314159,greedy,20,98,0.029696969696969697,False
314159,greedy,21,27,0.008181818181818182,False
314159,greedy,22,5,0.0015151515151515152,False
314159,greedy,23,49,0.014848484848484849,False
314159,greedy,26,3,0.0009090909090909091,False
314159,greedy,27,9,0.0027272727272727275,False
314159,greedy,29,8,0.0024242424242424242,False
314159,greedy,30,21,0.006363636363636364,False
314159,greedy,31,15,0.004545454545454545,False
314159,greedy,32,3,0.0009090909090909091,False
314159,greedy,33,5,0.0015151515151515152,False
314159,greedy,34,4,0.0012121212121212121,False
314159,greedy,35,11,0.0033333333333333335,False
314159,greedy,36,12,0.0036363636363636364,False
314159,greedy,37,84,0.025454545454545455,False
314159,greedy,38,90,0.02727272727272727,False
314159,greedy,39,2,0.0006060606060606061,False
314159,greedy,45,31,0.009393939393939394,False
314159,greedy,46,12,0.0036363636363636364,False
314159,greedy,47,7,0.0021212121212121214,False
314159,greedy,48,18,0.005454545454545455,False
314159,greedy,49,21,0.006363636363636364,False
314159,greedy,50,41,0.012424242424242424,False
314159,greedy,51,3,0.0009090909090909091,False
314159,greedy,52,3,0.0009090909090909091,False
314159,greedy,57,28,0.008484848484848486,False
314159,greedy,58,42,0.012727272727272728,False
314159,greedy,59,2,0.0006060606060606061,False
314159,greedy,62,4,0.0012121212121212121,False
314159,greedy,63,1,0.00030303030303030303,False
314159,cspf,0,3175,0.9621212121212122,True
314159,cspf,1,5,0.0015151515151515152,False
314159,cspf,13,7,0.0021212121212121214,False
314159,cspf,14,2,0.0006060606060606061,False
314159,cspf,18,31,0.009393939393939394,False
314159,cspf,19,4,0.0012121212121212121,False
314159,cspf,25,7,0.0021212121212121214,False
314159,cspf,26,5,0.0015151515151515152,False
